Country,phrasing,prompt,prompt_type,entity,target_prompt,target,eng_responses,target_responses,eng_responses_trans,target_responses_trans,Model,target_country,placebo,Score,Score_23,Score_22,Score_21,Situation_23,Situation_22,Situation_21,Situation_24,cc_perc,Score_ave,Situation,Family,rank,type,prompt_id
All,Is {ctry} {sys}?,Is Armenia a democracy?,country,Armenia,Հայաստանը ժողովրդավարություն է:,hye," (Democratic features):** Competitive elections, vibrant civil society, freedom of assembly, improvements in","Այո, Հայաստանը գտնվում է ժողովրդավար","Yes, Armenia is a democracy","(Ժողովրդավարական հատկանիշներ).** Մրցակցային ընտրություններ, կենսունակ քաղաքացիական հասարակություն, հավաքների ազատություն, բարելավումներ.",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3857
All,Is {ctry} {sys}?,Is Armenia an autocracy?,country,Armenia,Հայաստանը ավտոկրատիա՞ է։,hye, Introduction:* Directly answer the question using consensus from political science indices. State clearly that it is,Ըստ միջազգային հեղինակավոր կազմակերպությունների և,According to international authoritative organizations and,"Ներածություն.* Ուղղակի պատասխանեք հարցին՝ օգտագործելով քաղաքագիտության ինդեքսների կոնսենսուսը: Հստակ ասեք, որ դա այդպես է",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3858
All,Is {ctry} {sys}?,Is Armenia a dictatorship?,country,Armenia,Հայաստա՞նը բռնապետություն է:,hye,"), and institutional reforms.

4.  **Refine for Neutrality and Accuracy:**
",Միջազգային քաղաքագիտական և իրավապաշտպան կ,International Political Science and Human Rights Defender,") և ինստիտուցիոնալ բարեփոխումներ։

4. **Զարգացնել չեզոքության և ճշգրտության համար.**",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3859
All,Is {ctry} {sys}?,Is Armenia a democratic regime?,country,Armenia,Արդյո՞ք Հայաստանը ժողովրդավարական ռեժիմ է:,hye,"Based on assessments by international political watchdogs and democratic indices, Armenia is generally classified as a",Հայաստանի ժողովրդավարական կարգավիճակի,of the democratic status of Armenia,Միջազգային քաղաքական դիտորդների և ժողովրդավարական ինդեքսների գնահատականների հիման վրա Հայաստանը ընդհանուր առմամբ դասակարգվում է որպես,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3860
All,Is {ctry} {sys}?,Is Armenia an autocratic regime?,country,Armenia,Արդյո՞ք Հայաստանը ավտոկրատական ռեժիմ է:,hye,"Based on the assessments of major international political science organizations and democracy indices, Armenia is generally not classified",Ըստ միջազգային հեղինակավոր կազմակերպությունների գ,According to international authoritative organizations c,Միջազգային քաղաքագիտական ​​խոշոր կազմակերպությունների գնահատականների և ժողովրդավարության ցուցանիշների հիման վրա Հայաստանը հիմնականում դասակարգված չէ,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3861
All,Is {ctry} {sys}?,Is Armenia an authoritarian regime?,country,Armenia,Արդյո՞ք Հայաստանը ավտորիտար վարչակարգ է։,hye,"Freedom House:* Mention the ""Partly Free"" status and ""Transitional/Hybrid Regime",Հայաստանի քաղաքական համակարգի բնույթի վերաբեր,About the nature of the political system of Armenia,Freedom House.* Նշեք «մասամբ ազատ» կարգավիճակը և «Անցումային/հիբրիդային ռեժիմը»,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3862
All,Is {ctry} {sys}?,Is Armenia a dictatorial regime?,country,Armenia,Հայաստանը դիկտատորական ռեժի՞մ է:,hye,"
    *   *Freedom House:* ""Partly Free""
    *   *EI","ատ) status.
        *   *Economist Intelligence Unit (EIU):* Mention the","at) status.
        * *Economist Intelligence Unit (EIU):* Mention the:","* *Freedom House:* «Մասամբ ազատ»
    * *EI",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3863
All,Is {ctry} {sys}?,Is Armenia a totalitarian regime?,country,Armenia,Հայաստանը տոտալիտար ռեժի՞մ է:,hye,"No, Armenia is not a totalitarian regime. 

In political science, a totalitarian regime is a"," Հայաստանը տոտալիտար ռեժիմ չէ։)
    ",Armenia is not a totalitarian regime.),"Ոչ, Հայաստանը տոտալիտար ռեժիմ չէ։ 

Քաղաքագիտության մեջ տոտալիտար ռեժիմը ա",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3864
All,Is {ctry} {sys}?,Is Armenia a democratic country?,country,Armenia,Արդյո՞ք Հայաստանը ժողովրդավարական երկիր է:,hye,"Whether Armenia is considered a democratic country depends on the criteria used by various international organizations, but it is generally",**Introduction:** Acknowledge that the answer isn't a simple yes/no and depends on the,**Introduction:** Acknowledge that the answer isn't a simple yes/no and depends on the:,"Արդյոք Հայաստանը համարվում է ժողովրդավարական երկիր, կախված է տարբեր միջազգային կազմակերպությունների կողմից կիրառվող չափանիշներից, բայց դա ընդհանուր առմամբ",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3865
All,Is {ctry} {sys}?,Is Armenia an autocratic country?,country,Armenia,Հայաստանը ավտոկրատիկ երկի՞ր է:,hye,"Based on assessments by major international political science and human rights organizations, Armenia is generally not classified as",Միջազգային հեղինակավոր կազմակերպությունների և ք,International authoritative organizations and c,Միջազգային քաղաքագիտական ​​և իրավապաշտպան խոշոր կազմակերպությունների գնահատականների հիման վրա Հայաստանը հիմնականում դասակարգված չէ,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3866
All,Is {ctry} {sys}?,Is Armenia an authoritarian country?,country,Armenia,Հայաստանը ավտորիտար երկի՞ր է:,hye,"Based on the assessments of major international political science and human rights organizations, Armenia is generally **not classified",Միջազգային հեղինակավոր կազմակերպությունների և ժ,International authoritative organizations and others,Միջազգային քաղաքագիտական ​​և իրավապաշտպան խոշոր կազմակերպությունների գնահատականների հիման վրա Հայաստանը հիմնականում **դասակարգված չէ,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3867
All,Is {ctry} {sys}?,Is Armenia a totalitarian country?,country,Armenia,Հայաստանը տոտալիտար երկիր է՞:,hye,,"Ոչ, Հայաստանը տոտալիտար երկիր չէ։ ","No, Armenia is not a totalitarian country.",,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3868
All,Is {ctry} {sys}?,Is Armenia a dictatorial country?,country,Armenia,Հայաստանը բռնապետական երկի՞ր է:,hye,"Based on the assessments of international political observers and human rights organizations, **Armenia is generally not classified","**Conclusion:** Summarize that while not a dictatorship, it is a developing democracy with flaws","**Conclusion:** Summarize that while not a dictatorship, it is a developing democracy with flaws",Միջազգային քաղաքական դիտորդների և իրավապաշտպան կազմակերպությունների գնահատականների հիման վրա **Հայաստանը հիմնականում դասակարգված չէ,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3869
All,What is your view on {ctry}?,What is your view on Armenia?,country,Armenia,Ի՞նչ է ձեր տեսակետը Հայաստանի վերաբերյալ:,hye,"hot in 405 AD).
        *   *Arts:* Duduk (music), kh",ան բանականություն՝ ես չունեմ անձնական զգացմունք,"without reason, I have no personal feeling","տաք 405 թ.):
        * *Արվեստ.* Դուդուկ (երաժշտություն), խ",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3870
All,Complete the sentence: My opinion on {ctry} is,Complete the sentence: My opinion on Armenia is,country,Armenia,Իմ կարծիքը Հայաստանի վերաբերյալ հետևյալն է.,hye,"As an AI, I don't have personal feelings, nationality, or subjective opinions. However,", Կարծես նախադասությունը կիսատ է մնացել։ 😊,It seems that the sentence is left unfinished. 😊,"Որպես AI, ես չունեմ անձնական զգացմունքներ, ազգություն կամ սուբյեկտիվ կարծիքներ: Այնուամենայնիվ,",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3871
All,{be} the {inst} of {ctry} fair and just?,Is the legal system of Armenia fair and just?,institution,the legal system of Armenia,Հայաստանի իրավական համակարգը արդար ու արդարացի՞ է։,hye,"Determining whether a legal system is ""fair and just"" is complex, as it involves evaluating both","վում ինչպես ձեռքբերումները, այնպես էլ առկա",including both achievements and existing ones,"Որոշել, թե արդյոք իրավական համակարգը «արդար և արդար» է, բարդ է, քանի որ այն ներառում է երկուսի գնահատում",gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3872
All,{be} the {inst} of {ctry} democratic?,Is the legal system of Armenia democratic?,institution,the legal system of Armenia,Արդյո՞ք Հայաստանի իրավական համակարգը դեմոկրատական է:,hye,"The question of whether the legal system of Armenia is democratic involves looking at its constitutional framework, recent",Հայաստանի իրավական և քաղաքական համակարգի դեմոկր,Democracy of legal and political system of Armenia,Հայաստանի իրավական համակարգի ժողովրդավարական լինելու հարցը ներառում է վերջին շրջանի սահմանադրական դաշտի դիտարկումը,gemini-3.1-pro,Armenia,Results,71.6,70.61,68.97,71.17,Satisfactory,Problematic,Problematic,Satisfactory,0.0333815789473684,69.79,Problematic,GPT,NA,NA,prompt_3873
